time1,cm,cd,cl
315.0,0.0001000989,1.059226,-0.1002548
316.0,-0.0005347232,1.056128,-0.1145728
317.0,-0.001126491,1.054505,-0.1203773
318.0,-0.001630899,1.055531,-0.117699
319.0,-0.00201591,1.058395,-0.1070673
320.0,-0.002260387,1.061563,-0.08888144
321.0,-0.002349622,1.064912,-0.06409971
322.0,-0.002273994,1.067148,-0.03375887
323.0,-0.002033174,1.068927,-0.0006264245
324.0,-0.001638183,1.069224,0.03246357
325.0,-0.001114568,1.067559,0.06304065
326.0,-0.000502046,1.063848,0.08864192
327.0,0.0001487084,1.059958,0.1077312
328.0,0.0007847973,1.057415,0.1188918
329.0,0.001356583,1.0569,0.1213406
330.0,0.001824757,1.059273,0.1154718
331.0,0.002161735,1.062412,0.1015961
332.0,0.002350197,1.065622,0.08049715
333.0,0.002377205,1.068411,0.05306637
334.0,0.002236083,1.070334,0.02094822
335.0,0.001931069,1.071674,-0.01283542
336.0,0.001478331,1.070598,-0.04558907
337.0,0.000910408,1.067415,-0.07463345
338.0,0.0002722221,1.063016,-0.09797862
339.0,-0.0003842319,1.059602,-0.1143815
340.0,-0.001006819,1.057811,-0.1224678
341.0,-0.001549208,1.058364,-0.121854
342.0,-0.001976736,1.061222,-0.1129947
343.0,-0.002265057,1.064455,-0.09614672
344.0,-0.002398495,1.067899,-0.07238108
345.0,-0.002365766,1.070089,-0.0425834
346.0,-0.002163911,1.071733,-0.009207836
347.0,-0.00180145,1.072135,0.02477909
348.0,-0.001300075,1.070525,0.05687276
349.0,-0.0006968795,1.06683,0.0844688
350.0,-4.01962e-05,1.0626,0.105901
351.0,0.0006165471,1.059497,0.1198165
352.0,0.001222594,1.058362,0.1251111
353.0,0.001735331,1.060025,0.1217702
354.0,0.002123276,1.063128,0.1101852
355.0,0.002365625,1.066385,0.09080279
356.0,0.002447369,1.06966,0.06467363
357.0,0.002359154,1.071649,0.0329715
358.0,0.002101568,1.073144,-0.001345248
359.0,0.001686761,1.072757,-0.03540865
360.0,0.001142126,1.070383,-0.06666075
361.0,0.0005089837,1.066167,-0.09277945
362.0,-0.0001613458,1.062146,-0.1122968
363.0,-0.0008156613,1.059709,-0.1237256
364.0,-0.001403929,1.059356,-0.126296
365.0,-0.001886715,1.061885,-0.1203845
366.0,-0.002235791,1.06509,-0.1062062
367.0,-0.002433338,1.06845,-0.08449268
368.0,-0.002465497,1.071285,-0.05622221
369.0,-0.002325237,1.073251,-0.02304881
370.0,-0.002016278,1.074562,0.01184767
371.0,-0.001554831,1.073306,0.04575974
372.0,-0.000973644,1.069834,0.0759109
373.0,-0.000318306,1.065235,0.1003424
374.0,0.0003583984,1.061784,0.1177102
375.0,0.001003017,1.060059,0.126655
376.0,0.001568232,1.060572,0.1267664
377.0,0.002018157,1.063623,0.1183689
378.0,0.002327278,1.066913,0.1017397
379.0,0.002479302,1.070441,0.07782669
380.0,0.002461571,1.072783,0.04753035
381.0,0.002270126,1.074501,0.01333717
382.0,0.001912655,1.074983,-0.02172228
383.0,0.001409845,1.073269,-0.05503185
384.0,0.0007987786,1.069351,-0.08391141
385.0,0.0001277402,1.06475,-0.1066313
386.0,-0.0005492931,1.061556,-0.1218578
387.0,-0.001179277,1.060334,-0.1283975
388.0,-0.001718555,1.06178,-0.126099
389.0,-0.002133609,1.065111,-0.1153069
390.0,-0.002401936,1.068593,-0.09640981
391.0,-0.002508503,1.072078,-0.07058602
392.0,-0.002442897,1.074058,-0.03875704
393.0,-0.002203747,1.075496,-0.003842893
394.0,-0.001801777,1.075149,0.03117243
395.0,-0.001262423,1.072861,0.06365614
396.0,-0.0006263554,1.068549,0.0911146
397.0,5.477442e-05,1.064176,0.1120103
398.0,0.0007266751,1.061433,0.1250214
399.0,0.00133888,1.06083,0.1291614
400.0,0.001849945,1.063138,0.1245631
401.0,0.002229087,1.066488,0.1114951
402.0,0.002456968,1.069928,0.09057695
403.0,0.002518789,1.07302,0.06284948
404.0,0.002406209,1.074891,0.02973689
405.0,0.002121175,1.076282,-0.005619783
406.0,0.001677866,1.075286,-0.04035377
407.0,0.001106557,1.072113,-0.07177621
408.0,0.0004513898,1.067399,-0.09771802
409.0,-0.0002351449,1.063475,-0.1168365
410.0,-0.0008989507,1.061418,-0.1276354
411.0,-0.001490456,1.061545,-0.1293693
412.0,-0.001971136,1.064407,-0.1225253
413.0,-0.002313368,1.06764,-0.1072855
414.0,-0.002500137,1.071083,-0.0844938
415.0,-0.002517687,1.073799,-0.05505108
416.0,-0.002359738,1.075767,-0.02091034
417.0,-0.002031019,1.076712,0.01468832
418.0,-0.00154947,1.075043,0.04902723
419.0,-0.0009498291,1.071117,0.07928445
420.0,-0.0002792959,1.066289,0.1036192
421.0,0.0004085876,1.062935,0.1207342
422.0,0.00105967,1.061442,0.1292656
423.0,0.001627551,1.062292,0.1288611
424.0,0.002076804,1.06549,0.1198728
425.0,0.002382428,1.068809,0.1025882
426.0,0.002528373,1.072414,0.07797687
427.0,0.002501878,1.074688,0.04688718
428.0,0.002299321,1.076327,0.01203108
429.0,0.001929096,1.076452,-0.02351574
430.0,0.001413157,1.074491,-0.05711959
431.0,0.0007898309,1.070344,-0.08611774
432.0,0.0001083698,1.065641,-0.108841
433.0,-0.0005765702,1.062494,-0.1239737
434.0,-0.001212208,1.061414,-0.1303179
435.0,-0.001754997,1.063062,-0.1277513
436.0,-0.002171492,1.066491,-0.1166108
437.0,-0.002439374,1.070038,-0.09730573
438.0,-0.002543568,1.073537,-0.07099581
439.0,-0.002473647,1.075471,-0.03864873
440.0,-0.002228452,1.076854,-0.003272092
441.0,-0.001819119,1.076281,0.03212012
442.0,-0.001271802,1.073775,0.06486487
443.0,-0.0006278338,1.06931,0.09249994
444.0,6.062408e-05,1.064922,0.1135269
445.0,0.0007389805,1.062244,0.1266076
446.0,0.001356652,1.061721,0.1307348
447.0,0.001872152,1.064083,0.1260649
448.0,0.002254385,1.067512,0.112827
449.0,0.002484055,1.071036,0.09168482
450.0,0.002546463,1.074134,0.06369703
451.0,0.002433241,1.075971,0.0302648
452.0,0.002146124,1.077313,-0.00543225
453.0,0.0016993,1.076205,-0.0405128
454.0,0.001123372,1.072894,-0.07221119
