ROW,LOC_X,LOC_Y,CAT
589,166.0,99.0,5
590,102.0,67.0,5
591,2.0,-6.0,4
592,-213.0,142.0,1
593,1.0,-2.0,4
594,-2.0,-11.0,4
595,-70.0,63.0,2
596,135.0,96.0,5
597,-79.0,235.0,3
598,70.0,56.0,4
599,-2.0,1.0,4
600,0.0,-8.0,4
601,0.0,12.0,4
602,147.0,197.0,0
603,-142.0,164.0,1
604,-133.0,50.0,2
605,-123.0,28.0,2
606,-134.0,14.0,2
607,-76.0,135.0,1
608,176.0,129.0,5
609,2.0,15.0,4
610,108.0,25.0,5
611,133.0,-30.0,5
612,-5.0,-8.0,4
613,-95.0,127.0,1
614,217.0,131.0,5
615,-8.0,0.0,4
616,-81.0,39.0,2
617,-4.0,-8.0,4
618,-15.0,45.0,4
619,0.0,1.0,4
620,-64.0,189.0,3
621,223.0,127.0,5
622,0.0,1.0,4
623,75.0,53.0,5
624,65.0,31.0,4
625,-7.0,56.0,4
626,-171.0,17.0,2
627,29.0,33.0,4
628,-16.0,15.0,4
629,-45.0,242.0,3
630,1.0,1.0,4
631,-2.0,50.0,4
632,-30.0,45.0,4
633,-2.0,-2.0,4
634,9.0,0.0,4
635,0.0,1.0,4
636,0.0,1.0,4
637,2.0,1.0,4
638,225.0,-5.0,5
639,-112.0,219.0,1
640,-157.0,205.0,1
641,146.0,77.0,5
642,-5.0,4.0,4
643,-97.0,37.0,2
644,78.0,116.0,5
645,1.0,6.0,4
646,-2.0,12.0,4
647,-5.0,-2.0,4
648,-194.0,26.0,2
649,6.0,0.0,4
650,4.0,94.0,4
651,0.0,3.0,4
652,1.0,4.0,4
653,-164.0,143.0,1
654,-10.0,75.0,4
655,110.0,235.0,0
656,0.0,-3.0,4
657,-147.0,0.0,2
658,-2.0,0.0,4
659,-229.0,-10.0,2
660,-169.0,200.0,1
661,-146.0,6.0,2
662,-109.0,236.0,1
663,230.0,14.0,5
664,146.0,261.0,0
665,89.0,187.0,0
666,89.0,39.0,5
667,-144.0,-13.0,2
668,1.0,3.0,4
669,0.0,1.0,4
670,78.0,4.0,4
671,-51.0,15.0,4
672,-48.0,26.0,4
673,0.0,-2.0,4
674,1.0,1.0,4
675,7.0,1.0,4
676,0.0,-8.0,4
677,231.0,77.0,5
678,-2.0,39.0,4
679,-57.0,20.0,4
680,-8.0,3.0,4
681,129.0,112.0,5
682,-2.0,0.0,4
683,-122.0,242.0,1
684,67.0,66.0,4
685,78.0,142.0,0
686,176.0,192.0,0
687,-112.0,231.0,1
688,143.0,45.0,5
689,0.0,1.0,4
690,0.0,6.0,4
691,-34.0,25.0,4
692,0.0,1.0,4
693,-128.0,36.0,2
694,226.0,3.0,5
695,-7.0,17.0,4
696,0.0,1.0,4
697,-45.0,134.0,3
698,-139.0,127.0,1
699,105.0,235.0,0
700,-5.0,4.0,4
701,72.0,37.0,4
702,-70.0,151.0,1
703,-120.0,48.0,2
704,-111.0,225.0,1
705,4.0,0.0,4
706,13.0,-8.0,4
707,-187.0,214.0,1
708,-11.0,61.0,4
709,-19.0,56.0,4
710,10.0,17.0,4
711,-15.0,-6.0,4
712,0.0,3.0,4
713,0.0,291.0,3
714,6.0,6.0,4
715,147.0,19.0,5
716,-163.0,102.0,2
717,-152.0,44.0,2
718,0.0,9.0,4
719,-146.0,216.0,1
720,-158.0,203.0,1
721,10.0,11.0,4
722,214.0,145.0,5
723,144.0,162.0,0
724,-95.0,110.0,2
725,-67.0,242.0,3
726,124.0,164.0,0
727,0.0,1.0,4
728,226.0,19.0,5
729,-95.0,247.0,1
730,83.0,203.0,0
731,-164.0,197.0,1
732,170.0,26.0,5
733,23.0,254.0,3
734,-218.0,140.0,1
735,0.0,1.0,4
736,-5.0,211.0,3
737,1.0,12.0,4
738,-98.0,156.0,1
739,2.0,12.0,4
740,-4.0,-3.0,4
741,130.0,183.0,0
742,62.0,55.0,4
743,-127.0,115.0,1
744,-127.0,77.0,2
745,-15.0,231.0,3
746,-45.0,176.0,3
747,-120.0,220.0,1
748,0.0,1.0,4
749,111.0,242.0,0
750,231.0,12.0,5
751,0.0,1.0,4
752,0.0,1.0,4
753,-89.0,33.0,2
754,-90.0,50.0,2
755,1.0,0.0,4
756,0.0,1.0,4
757,-8.0,6.0,4
758,140.0,206.0,0
759,0.0,1.0,4
760,-158.0,-5.0,2
761,-35.0,134.0,3
762,-125.0,-5.0,2
763,6.0,-2.0,4
764,-30.0,11.0,4
765,-13.0,15.0,4
766,28.0,3.0,4
767,-21.0,0.0,4
768,179.0,184.0,0
769,29.0,1.0,4
770,-185.0,6.0,2
771,-2.0,22.0,4
772,4.0,131.0,3
773,-120.0,15.0,2
774,36.0,47.0,4
775,36.0,194.0,3
776,-98.0,160.0,1
777,-130.0,208.0,1
778,6.0,7.0,4
779,-149.0,75.0,2
780,124.0,108.0,5
781,-134.0,228.0,1
782,0.0,1.0,4
783,-231.0,123.0,1
784,-7.0,132.0,3
785,-7.0,71.0,4
786,37.0,64.0,4
787,51.0,183.0,3
788,-24.0,22.0,4
789,108.0,224.0,0
790,-234.0,402.0,1
791,-127.0,214.0,1
792,-191.0,-2.0,2
793,176.0,108.0,5
794,-150.0,194.0,1
795,100.0,258.0,0
796,-65.0,277.0,3
797,170.0,201.0,0
798,-134.0,28.0,2
799,-40.0,26.0,4
800,-32.0,12.0,4
801,-108.0,48.0,2
802,0.0,1.0,4
803,2.0,0.0,4
804,54.0,42.0,4
805,-13.0,-5.0,4
806,0.0,1.0,4
807,-2.0,6.0,4
808,-179.0,206.0,1
809,-40.0,44.0,4
810,95.0,44.0,5
811,-133.0,257.0,1
812,-7.0,-3.0,4
813,9.0,213.0,3
814,-119.0,230.0,1
815,171.0,361.0,0
816,-10.0,211.0,3
817,17.0,4.0,4
818,-116.0,228.0,1
819,-119.0,242.0,1
820,2.0,214.0,3
821,-23.0,0.0,4
822,-62.0,282.0,3
823,-7.0,15.0,4
824,-97.0,178.0,1
825,147.0,55.0,5
826,84.0,192.0,0
827,121.0,168.0,0
828,-98.0,238.0,1
829,-16.0,279.0,3
830,-19.0,6.0,4
831,10.0,11.0,4
832,-105.0,25.0,2
833,-161.0,63.0,2
834,92.0,239.0,0
835,163.0,216.0,0
836,47.0,45.0,4
837,6.0,9.0,4
838,88.0,239.0,0
839,1.0,211.0,3
840,-75.0,211.0,3
841,-101.0,236.0,1
842,0.0,1.0,4
843,-144.0,151.0,1
844,0.0,1.0,4
845,0.0,-13.0,4
846,-82.0,168.0,1
847,-136.0,22.0,2
848,-37.0,115.0,4
849,70.0,69.0,5
850,39.0,14.0,4
851,-116.0,255.0,1
852,15.0,197.0,3
853,0.0,1.0,4
854,-87.0,271.0,3
855,-54.0,269.0,3
856,-149.0,254.0,1
857,222.0,142.0,5
858,179.0,135.0,5
859,72.0,132.0,0
860,32.0,56.0,4
861,50.0,45.0,4
862,-19.0,1.0,4
863,-130.0,15.0,2
864,0.0,1.0,4
865,-5.0,-8.0,4
866,-93.0,121.0,1
867,141.0,74.0,5
868,0.0,1.0,4
869,160.0,208.0,0
870,-146.0,203.0,1
871,-112.0,194.0,1
872,206.0,145.0,5
873,-15.0,1.0,4
874,40.0,14.0,4
875,179.0,377.0,0
876,37.0,47.0,4
877,-234.0,19.0,2
878,0.0,1.0,4
879,190.0,178.0,0
880,24.0,-5.0,4
881,0.0,7.0,4
882,-122.0,230.0,1
883,31.0,25.0,4
884,0.0,1.0,4
885,84.0,198.0,0
886,18.0,6.0,4
887,125.0,277.0,0
888,223.0,127.0,5
889,31.0,26.0,4
890,179.0,89.0,5
891,-4.0,4.0,4
892,-103.0,257.0,1
893,-4.0,6.0,4
894,84.0,254.0,0
895,0.0,63.0,4
896,-4.0,48.0,4
897,0.0,-3.0,4
898,-10.0,-2.0,4
899,-8.0,1.0,4
900,-152.0,134.0,1
901,-103.0,227.0,1
902,1.0,6.0,4
903,149.0,197.0,0
904,192.0,101.0,5
905,-138.0,214.0,1
906,-169.0,45.0,2
907,-163.0,187.0,1
908,7.0,301.0,3
909,9.0,14.0,4
910,-4.0,156.0,3
911,-163.0,201.0,1
912,-112.0,233.0,1
913,189.0,178.0,0
914,0.0,1.0,4
915,37.0,26.0,4
916,-171.0,124.0,1
917,-142.0,88.0,2
918,20.0,56.0,4
919,138.0,222.0,0
920,-4.0,0.0,4
921,-48.0,67.0,4
922,18.0,-2.0,4
923,0.0,1.0,4
924,-122.0,213.0,1
925,127.0,209.0,0
926,17.0,3.0,4
927,2.0,263.0,3
928,0.0,1.0,4
929,-34.0,37.0,4
930,0.0,110.0,4
931,23.0,-5.0,4
932,-27.0,22.0,4
933,-8.0,-6.0,4
